Source,Main Measure,Detailed Measure,Region,Age,Race,Units,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,
REMI v3.1,Population,Total Population,Region,Ages 5-19,All Races,Thousands,683.867,683.059,681.305,681.916,682.356,687.2,689.804,693.376,699.254,699.168,697.696,699.35,703.365,708.254,714.733,723.139,730.134,735.049,739.053,755.976,750.639,764.099,775.971,782.956,787.805,790.118,793.892,795.935,798.956,801.63,804.291,808.219,811.382,813.42,814.156,814.123,814.226,814.999,817.159,819.286,822.951,823.496,824.526,826.307,829.126,832.989,837.856,843.728,850.571,858.231,866.665,875.738,885.311,895.177,905.237,915.317,925.139,934.569,943.55,952.029,
REMI v3.1,Population,Total Population,Region,Ages 5-19,White-NonHispanic,Thousands,479.298,472.388,464.469,458.017,450.457,445.224,438.205,431,424.727,415.816,409.076,403.952,400.24,396.513,393.714,391.846,389.521,386.154,382.505,385.886,377.752,381.834,383.966,384.022,383.574,382.37,381.77,380.064,378.619,377.059,374.861,373.495,371.428,368.505,364.851,360.816,357.01,353.594,350.586,347.225,344.267,339.879,335.903,332.462,329.729,327.699,326.339,325.623,325.517,325.932,326.821,328.112,329.706,331.482,333.366,335.248,336.987,338.498,339.74,340.67,
REMI v3.1,Population,Total Population,Region,Ages 5-19,Black-NonHispanic,Thousands,41.488,41.681,41.533,41.571,41.484,41.925,42.058,42.415,42.934,42.858,43.396,43.896,44.246,44.598,45.26,46.182,46.926,47.682,48.574,50.233,50.262,51.219,52.186,52.646,52.78,52.537,52.397,52.157,51.923,51.789,51.648,51.579,51.569,51.469,51.247,51.122,51.053,50.9,50.895,51.047,51.459,51.579,51.728,51.927,52.196,52.528,52.925,53.385,53.906,54.482,55.11,55.785,56.496,57.228,57.976,58.73,59.468,60.184,60.87,61.523,
REMI v3.1,Population,Total Population,Region,Ages 5-19,Other-NonHispanic,Thousands,112.42,115.195,118.436,121.869,125.543,130.043,134.749,139.64,144.74,148.741,150.649,153.583,157.505,162.303,167.132,172.264,177.397,182.251,186.147,193.188,194.819,200.656,206.383,210.599,214.705,218.269,222.458,226.269,230.414,234.213,238.315,242.358,246.01,249.59,252.836,255.649,258.191,261.151,264.655,267.759,271.227,273.795,276.435,279.251,282.327,285.693,289.355,293.344,297.661,302.252,307.116,312.19,317.452,322.833,328.305,333.813,339.259,344.608,349.847,354.968,
REMI v3.1,Population,Total Population,Region,Ages 5-19,Hispanic,Thousands,50.661,53.795,56.867,60.459,64.872,70.008,74.792,80.321,86.853,91.753,94.575,97.918,101.373,104.84,108.627,112.847,116.29,118.961,121.826,126.669,127.806,130.39,133.435,135.689,136.745,136.942,137.267,137.445,137.999,138.568,139.466,140.787,142.375,143.857,145.221,146.536,147.971,149.354,151.023,153.254,155.999,158.243,160.46,162.666,164.874,167.069,169.237,171.376,173.487,175.565,177.618,179.65,181.658,183.634,185.591,187.526,189.425,191.279,193.093,194.868,
REMI v3.1,Population,Total Population,Region,Ages 20-64,All Races,Thousands,2091.323,2118.376,2133.567,2154.688,2184.419,2231.682,2263.151,2297.151,2332.843,2354.48,2397.727,2426.599,2453.502,2490.402,2531.631,2579.547,2621.915,2649.671,2670.657,2696.711,2679.552,2687.487,2708.776,2740.5,2766.578,2790.855,2812.882,2834.046,2854.46,2878.644,2903.013,2930.315,2957.247,2982.63,3004.676,3024.002,3045.535,3067.962,3089.668,3110.314,3130.448,3152.66,3174.925,3196.304,3215.691,3234.821,3252.819,3270.122,3289.259,3306.636,3324.486,3343.43,3362.54,3379.912,3394.742,3409.929,3428.453,3449.236,3471.69,3495.303,
REMI v3.1,Population,Total Population,Region,Ages 20-64,White-NonHispanic,Thousands,1613.687,1618.456,1615.088,1616.893,1623.678,1641.046,1647.921,1653.808,1661.445,1662.302,1678.404,1680.868,1683.256,1689.656,1697.31,1706.477,1707.785,1698.375,1684.296,1675.079,1638.088,1624.481,1616.6,1615.728,1612.555,1607.601,1601.347,1594.612,1587.732,1583.588,1580.429,1578.649,1576.927,1574.061,1569.08,1562.607,1558.685,1556.157,1553.773,1550.549,1547.371,1544.853,1541.73,1537.724,1532.3,1526.438,1520.004,1512.755,1506.415,1498.467,1491.002,1483.834,1476.542,1468.597,1459.47,1450.624,1444.02,1438.661,1434.424,1431.173,
REMI v3.1,Population,Total Population,Region,Ages 20-64,Black-NonHispanic,Thousands,99.561,102.273,103.642,105.143,107.417,111.189,113.302,117.396,121.4,123.578,127.985,132.801,136.276,139.466,143.367,148.125,153.594,158.741,163.496,168.47,169.88,170.474,171.749,173.717,175.352,176.912,178.51,180.075,181.652,183.145,184.637,186.385,188.212,190.022,191.544,192.78,194.085,195.583,196.979,198.139,198.993,200.15,201.383,202.477,203.388,204.469,205.558,206.516,207.559,208.501,209.448,210.707,211.996,213.108,214.142,215.366,216.646,218.058,219.726,221.496,
REMI v3.1,Population,Total Population,Region,Ages 20-64,Other-NonHispanic,Thousands,267.267,279.545,290.16,301.165,313.61,329.288,343.143,356.803,370.298,382.048,399.041,414.932,430.077,450.026,471.998,495.782,521.523,545.016,565.649,586.413,599.929,613.373,632.583,653.578,671.905,690.046,707.454,724.478,741.309,759.067,776.374,794.934,813.304,831.339,848.698,865.453,882.048,897.945,913.439,929.568,945.892,962.982,980.292,997.494,1014.461,1031.168,1047.456,1063.522,1079.843,1096.468,1112.829,1129.322,1145.847,1161.276,1175.699,1189.969,1205.311,1221.686,1238.451,1255.565,
REMI v3.1,Population,Total Population,Region,Ages 20-64,Hispanic,Thousands,110.808,118.102,124.677,131.487,139.714,150.159,158.785,169.144,179.7,186.552,192.296,197.998,203.894,211.255,218.956,229.164,239.014,247.539,257.216,266.749,271.655,279.158,287.844,297.477,306.767,316.295,325.571,334.882,343.768,352.844,361.573,370.347,378.805,387.208,395.355,403.162,410.717,418.277,425.477,432.058,438.192,444.675,451.521,458.609,465.541,472.746,479.8,487.329,495.442,503.2,511.207,519.567,528.155,536.931,545.431,553.97,562.476,570.831,579.088,587.069,
REMI v3.1,Population,Total Population,Region,Ages 65+,All Races,Thousands,336.678,339.476,342.937,347.116,352.796,360.02,367.721,378.769,394.477,408.734,422.604,447.007,468.035,489.384,511.384,533.116,553.88,574.829,595.913,598.555,615.598,639.799,663.705,687.402,711.734,736.297,760.694,784.76,808.095,828.414,846.181,863.357,880.72,899.688,921.045,942.201,958.452,971.355,982.979,995.776,1008.257,1022.699,1037.713,1054.301,1073.478,1093.775,1115.962,1139.716,1162.695,1188.331,1214.356,1240.291,1266.739,1295.47,1327.369,1359.364,1387.908,1413.851,1437.622,1459.604,
REMI v3.1,Population,Total Population,Region,Ages 65+,White-NonHispanic,Thousands,294.662,295.307,296.696,298.678,301.589,305.688,310.706,319.068,330.89,341.184,350.962,370.156,385.642,400.713,415.923,430.963,445.092,458.904,472.466,470.602,480.055,496.661,512.954,528.977,544.766,560.773,576.171,590.965,604.919,616.008,624.939,633.131,641.015,649.861,659.912,669.466,674.505,676.474,677.253,678.976,680.346,682.7,685.574,689.304,694.376,699.956,706.145,713.258,719.683,727.892,735.774,743.614,751.684,760.479,770.598,780.534,788.112,794.27,799.095,802.693,
REMI v3.1,Population,Total Population,Region,Ages 65+,Black-NonHispanic,Thousands,9.318,9.558,9.744,10.008,10.425,10.817,11.137,11.477,12.049,12.703,13.325,14.183,15.012,15.967,17.07,18.145,19.264,20.48,21.701,22.514,23.828,25.477,27.068,28.687,30.449,32.299,34.052,35.783,37.468,39.186,40.789,42.287,43.674,45.146,46.933,48.73,50.277,51.632,52.928,54.322,55.818,57.374,58.909,60.636,62.596,64.454,66.363,68.474,70.576,72.84,75.162,77.255,79.375,81.719,84.191,86.515,88.798,90.949,92.834,94.606,
REMI v3.1,Population,Total Population,Region,Ages 65+,Other-NonHispanic,Thousands,28.303,29.793,31.324,32.893,34.769,37.056,38.986,40.933,43.533,46.152,48.98,52.502,56.284,60.603,65.276,69.821,74.283,79.079,84.006,86.703,91.563,95.823,100.043,104.199,108.865,113.504,118.388,123.603,128.807,133.788,138.537,143.376,148.651,154.234,160.376,166.681,172.868,179.004,184.99,190.944,196.729,203.103,209.697,216.83,224.586,233.052,242.323,252.233,262.348,272.556,283.426,294.59,306.06,318.914,333.076,347.615,361.086,373.435,385.234,396.469,
REMI v3.1,Population,Total Population,Region,Ages 65+,Hispanic,Thousands,4.395,4.818,5.173,5.537,6.013,6.459,6.892,7.291,8.005,8.696,9.336,10.166,11.097,12.1,13.115,14.187,15.241,16.366,17.74,18.736,20.152,21.839,23.641,25.539,27.654,29.721,32.083,34.41,36.901,39.432,41.916,44.564,47.38,50.446,53.823,57.324,60.801,64.245,67.809,71.533,75.363,79.522,83.534,87.531,91.919,96.314,101.131,105.752,110.088,115.044,119.994,124.831,129.62,134.358,139.504,144.699,149.912,155.198,160.459,165.835,
REMI v3.1,Population,Total Population,King County,All Ages (0-100),All Races,Thousands,1754.09,1758.685,1763.44,1775.297,1795.268,1822.967,1847.986,1875.02,1912.012,1938.407,1974.385,2011.504,2047.668,2085.78,2126.873,2167.272,2204.315,2227.703,2248.735,2272.571,2252.305,2276.385,2312.05,2353.209,2386.713,2417.565,2445.002,2470.55,2495.85,2521.884,2546.707,2575.212,2603.221,2631.013,2657.631,2682,2704.959,2727.245,2749.566,2772.392,2796.054,2820.66,2846.249,2873.029,2901.061,2930.542,2961.253,2993.322,3026.863,3061.637,3097.651,3134.828,3172.995,3211.932,3251.622,3291.823,3331.863,3371.465,3410.414,3448.636,
REMI v3.1,Population,Total Population,King County,All Ages (0-100),White-NonHispanic,Thousands,1277.663,1264.705,1251.56,1244.262,1242.423,1244.106,1245.369,1245.649,1253.472,1257.181,1268.646,1279.805,1289.426,1297.495,1307.21,1314.019,1315.547,1308.386,1300.708,1293.953,1262.877,1262.818,1266.537,1274.295,1278.464,1280.913,1281.297,1280.486,1279.366,1278.446,1276.721,1276.7,1276.246,1275.496,1273.981,1271.192,1267.567,1263.5,1259.349,1255.348,1251.646,1248.292,1245.293,1242.737,1240.653,1239.113,1238.015,1237.403,1237.323,1237.671,1238.435,1239.577,1241.02,1242.673,1244.528,1246.492,1248.307,1249.884,1251.154,1252.108,
REMI v3.1,Population,Total Population,King County,All Ages (0-100),Black-NonHispanic,Thousands,97.173,98.555,100.028,101.506,103.686,106.381,108.803,112.094,115.841,118.127,121.54,125.363,128.288,131.056,134.414,137.484,141.525,145.173,148.864,152.734,153.311,154.995,157.349,160.1,162.4,164.544,166.482,168.318,170.163,172.084,173.951,176.089,178.225,180.373,182.469,184.441,186.341,188.218,190.121,192.079,194.114,196.23,198.431,200.729,203.125,205.632,208.236,210.942,213.754,216.657,219.651,222.734,225.895,229.121,232.411,235.753,239.106,242.452,245.777,249.08,
REMI v3.1,Population,Total Population,King County,All Ages (0-100),Other-NonHispanic,Thousands,275.389,285.938,296.327,307.309,319.458,334.084,347.801,361.436,376.779,389.902,406.427,423.411,440.963,462.759,485.298,508.511,533.401,555.589,574.963,594.995,604.373,620.689,642.598,665.161,684.959,704.193,722.554,740.442,758.327,776.505,794.382,813.47,832.475,851.503,870.25,888.367,906.116,923.715,941.388,959.291,977.545,996.193,1015.261,1034.827,1054.911,1075.593,1096.801,1118.59,1141.004,1163.953,1187.447,1211.459,1235.925,1260.756,1285.942,1311.376,1336.777,1362.031,1387.04,1411.761,
REMI v3.1,Population,Total Population,King County,All Ages (0-100),Hispanic,Thousands,103.865,109.487,115.525,122.22,129.701,138.396,146.013,155.841,165.92,173.197,177.773,182.924,188.991,194.47,199.95,207.258,213.842,218.555,224.199,230.889,231.744,237.883,245.566,253.653,260.89,267.915,274.669,281.304,287.994,294.849,301.652,308.953,316.275,323.641,330.93,338,344.935,351.812,358.709,365.675,372.75,379.945,387.264,394.736,402.373,410.203,418.201,426.387,434.782,443.357,452.117,461.058,470.156,479.382,488.742,498.203,507.672,517.098,526.443,535.687,
REMI v3.1,Population,Total Population,King County,Ages 0-4,All Races,Thousands,105.74,105.348,105.873,108.233,109.964,112.246,114.68,116.864,119.066,121.081,123.54,124.875,126.171,127.238,127.561,129.025,129.817,128.274,126.393,124.542,119.454,119.48,120.698,123.254,124.515,125.82,125.639,124.965,124.118,123.398,122.591,122.242,121.959,121.83,121.793,121.804,121.934,122.275,122.834,123.615,124.588,125.698,126.903,128.19,129.532,130.94,132.377,133.854,135.382,136.945,138.548,140.197,141.883,143.59,145.322,147.064,148.75,150.346,151.827,153.186,
REMI v3.1,Population,Total Population,King County,Ages 0-4,White-NonHispanic,Thousands,64.386,62.36,61.005,60.639,60.07,59.887,59.637,58.925,58.876,59.498,59.88,60.021,59.997,59.861,59.078,59.068,57.907,56.293,54.678,53.765,50.662,50.635,51.01,51.88,51.679,51.083,49.949,48.605,47.202,45.902,44.595,43.554,42.576,41.697,40.89,40.133,39.457,38.915,38.511,38.247,38.106,38.06,38.082,38.16,38.276,38.428,38.598,38.788,38.996,39.213,39.441,39.675,39.909,40.136,40.356,40.558,40.715,40.817,40.854,40.831,
REMI v3.1,Population,Total Population,King County,Ages 0-4,Black-NonHispanic,Thousands,7.525,7.601,7.786,8.047,8.344,8.578,9.056,9.439,9.519,9.352,9.58,9.532,9.463,9.558,9.788,9.716,9.921,10.027,9.867,9.625,9.203,8.887,8.587,8.39,8.296,8.392,8.415,8.412,8.404,8.407,8.405,8.433,8.464,8.499,8.535,8.568,8.605,8.652,8.713,8.79,8.881,8.981,9.087,9.196,9.304,9.413,9.519,9.623,9.722,9.818,9.91,9.999,10.087,10.177,10.269,10.366,10.467,10.57,10.677,10.788,
REMI v3.1,Population,Total Population,King County,Ages 0-4,Other-NonHispanic,Thousands,22.094,22.911,23.719,24.824,25.878,27.042,28.326,29.624,31.082,32.308,33.53,34.601,35.593,36.701,37.802,39.087,40.472,40.832,41.06,40.662,39.79,40.32,41.447,42.95,44.105,45.385,45.957,46.309,46.555,46.795,46.971,47.267,47.574,47.937,48.336,48.765,49.253,49.821,50.463,51.18,51.955,52.768,53.609,54.476,55.36,56.271,57.191,58.126,59.084,60.061,61.053,62.068,63.101,64.144,65.199,66.264,67.311,68.323,69.287,70.195,
REMI v3.1,Population,Total Population,King County,Ages 0-4,Hispanic,Thousands,11.735,12.476,13.363,14.723,15.672,16.739,17.661,18.876,19.589,19.924,20.55,20.721,21.118,21.118,20.893,21.153,21.516,21.122,20.789,20.49,19.799,19.637,19.653,20.034,20.435,20.96,21.318,21.638,21.957,22.294,22.62,22.987,23.345,23.698,24.032,24.338,24.62,24.888,25.147,25.398,25.646,25.889,26.125,26.358,26.592,26.829,27.069,27.318,27.579,27.853,28.144,28.456,28.786,29.133,29.498,29.876,30.257,30.636,31.009,31.372,
REMI v3.1,Population,Total Population,King County,Ages 5-19,All Races,Thousands,328.133,326.026,324.584,325.188,326.379,329.056,331.495,334.108,339.254,341.909,343.412,346.886,351.855,355.686,360.081,364.468,367.508,369.331,371.126,378.936,374.156,379.717,386.68,392.052,396.046,398.351,400.384,401.659,403.258,404.442,405.535,407.851,409.518,410.497,410.746,410.859,410.542,410.112,410.393,410.311,410.896,410.788,410.881,411.403,412.569,414.397,416.878,420.033,423.872,428.307,433.344,438.889,444.888,451.22,457.823,464.587,471.298,477.852,484.17,490.204,
REMI v3.1,Population,Total Population,King County,Ages 5-19,White-NonHispanic,Thousands,215.684,210.782,206.024,202.831,199.608,196.695,193.873,190.681,188.96,186.208,184.425,183.232,182.745,181.071,180.059,178.987,177.388,175.139,173.125,174.188,169.419,169.25,169.482,169.665,169.716,169.281,168.639,167.515,166.475,165.331,163.836,163.007,161.889,160.356,158.468,156.518,154.387,152.206,150.142,147.508,144.856,142.116,139.563,137.282,135.394,133.9,132.788,132.059,131.708,131.693,132.004,132.591,133.427,134.45,135.62,136.882,138.143,139.346,140.452,141.435,
REMI v3.1,Population,Total Population,King County,Ages 5-19,Black-NonHispanic,Thousands,23.815,23.911,23.89,24,24.194,24.576,24.886,25.312,25.887,26.182,26.71,27.286,27.761,28.03,28.476,28.867,29.061,29.243,29.74,30.584,30.428,30.88,31.453,31.826,31.912,31.684,31.37,30.992,30.627,30.308,29.97,29.711,29.505,29.201,28.873,28.6,28.375,28.095,27.875,27.815,27.98,28.123,28.28,28.467,28.698,28.969,29.28,29.63,30.019,30.44,30.893,31.373,31.874,32.388,32.911,33.437,33.95,34.444,34.912,35.352,
REMI v3.1,Population,Total Population,King County,Ages 5-19,Other-NonHispanic,Thousands,62.844,64.222,66.017,67.957,70.146,72.889,75.724,78.48,81.59,84.199,85.708,88.066,91.098,94.738,97.995,101.231,104.261,107.167,109.52,113.529,113.722,117.573,121.973,125.51,128.7,131.25,134.01,136.667,139.346,141.739,144.291,147.133,149.452,151.695,153.598,155.234,156.717,158.167,159.844,161.465,163.386,164.848,166.319,167.901,169.67,171.642,173.832,176.261,178.941,181.84,184.969,188.294,191.796,195.428,199.169,202.973,206.753,210.476,214.11,217.641,
REMI v3.1,Population,Total Population,King County,Ages 5-19,Hispanic,Thousands,25.79,27.111,28.653,30.4,32.431,34.896,37.012,39.635,42.817,45.32,46.568,48.301,50.251,51.847,53.55,55.382,56.798,57.782,58.74,60.635,60.587,62.014,63.771,65.052,65.717,66.135,66.365,66.484,66.81,67.064,67.438,68,68.673,69.244,69.806,70.507,71.063,71.644,72.533,73.523,74.674,75.701,76.719,77.752,78.808,79.886,80.978,82.083,83.204,84.335,85.478,86.631,87.791,88.954,90.122,91.295,92.452,93.587,94.695,95.777,
REMI v3.1,Population,Total Population,King County,Ages 20-64,All Races,Thousands,1138.302,1145.276,1150.183,1158.28,1172.601,1193.725,1210.54,1227.897,1248.881,1262.958,1287.6,1307.279,1326.663,1349.334,1374.996,1399.278,1422.894,1436.982,1448.449,1466.647,1448.735,1456.809,1473.836,1496.809,1514.321,1530.424,1544.812,1558.318,1571.678,1587.211,1602.698,1620.34,1637.421,1653.285,1667.13,1678.954,1692.192,1706.1,1719.324,1732.802,1746.102,1760.092,1774.287,1788.706,1801.959,1815.206,1827.79,1839.761,1852.559,1864.389,1876.066,1888.528,1900.732,1911.506,1920.371,1929.515,1940.867,1953.711,1967.593,1982.371,
REMI v3.1,Population,Total Population,King County,Ages 20-64,White-NonHispanic,Thousands,843.65,838.576,831.976,828.612,829.491,834.322,836.781,837.588,840.906,841.568,849.56,852.348,855.451,858.726,863.673,865.288,863.918,855.703,846.377,841.896,815.208,808.985,805.792,806.464,804.736,801.902,797.825,793.301,788.708,785.397,782.459,780.603,778.404,775.224,770.827,765.698,762.005,759.096,756.196,753.425,750.941,748.459,745.701,742.935,739.325,735.446,731.406,726.813,722.548,717.372,712.134,707.27,702.193,696.681,690.549,684.501,679.796,675.739,672.449,669.84,
REMI v3.1,Population,Total Population,King County,Ages 20-64,Black-NonHispanic,Thousands,59.484,60.611,61.789,62.774,64.189,66.054,67.539,69.812,72.55,74.272,76.552,79.295,81.292,83.085,85.093,87.19,90.187,92.835,95.476,98.464,99.022,99.677,100.864,102.553,103.894,105.097,106.324,107.585,108.866,110.16,111.519,113.069,114.549,116.047,117.331,118.426,119.561,120.842,122.06,123.081,123.859,124.675,125.654,126.57,127.371,128.258,129.126,129.885,130.741,131.526,132.328,133.299,134.326,135.237,136.061,137.089,138.103,139.218,140.514,141.942,
REMI v3.1,Population,Total Population,King County,Ages 20-64,Other-NonHispanic,Thousands,171.423,178.988,185.876,192.959,200.709,210.173,218.627,227.12,236.275,243.884,255.898,267.261,278.37,292.63,307.871,323.73,341.403,357.425,371.183,386.217,393.483,403.064,417.049,432.178,444.95,457.624,469.857,481.705,493.575,506.049,518.316,531.278,544.287,557.013,569.376,581.04,592.618,603.963,615.065,626.557,637.961,649.86,661.929,674.029,685.957,697.953,709.622,721.056,732.639,744.364,755.957,767.617,779.128,789.63,799.105,808.38,818.622,829.715,840.913,852.43,
REMI v3.1,Population,Total Population,King County,Ages 20-64,Hispanic,Thousands,63.745,67.101,70.542,73.935,78.212,83.176,87.593,93.377,99.15,103.235,105.59,108.376,111.55,114.893,118.359,123.07,127.386,131.019,135.413,140.07,141.022,145.084,150.13,155.613,160.741,165.8,170.806,175.727,180.529,185.605,190.404,195.39,200.181,205.002,209.596,213.79,218.008,222.199,226.003,229.74,233.341,237.098,241.003,245.173,249.307,253.549,257.636,262.006,266.631,271.127,275.647,280.342,285.085,289.958,294.656,299.545,304.345,309.039,313.716,318.159,
REMI v3.1,Population,Total Population,King County,Ages 65+,All Races,Thousands,181.915,182.035,182.8,183.596,186.324,187.94,191.271,196.151,204.811,212.458,219.833,232.463,242.98,253.522,264.235,274.501,284.097,293.116,302.767,302.446,309.96,320.379,330.837,341.093,351.831,362.971,374.167,385.608,396.797,406.834,415.882,424.779,434.323,445.401,457.961,470.382,480.291,488.758,497.015,505.665,514.468,524.082,534.178,544.73,557.001,569.999,584.207,599.674,615.05,631.996,649.693,667.214,685.491,705.617,728.106,750.658,770.948,789.556,806.824,822.875,
